DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score 2012,SAT Math Avg. Score 2012,SAT Writing Avg. Score 2012,Total SAT Score (Out of 2400) 2012,Performance Category,math_2010,reading_2010,writing_2010,total_sat_2010,LOCATION_CODE,LOCATION_NAME,Location 1,borough,latitude,longitude
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29.0,355.0,404.0,363.0,1122.0,Low,425.0,391.0,385.0,1201.0,M292,Henry Street School for International Studies,"220 HENRY STREET MANHATTAN NY 10002 (40.713362, -73.986051)",MANHATTAN,40.713362,-73.986051
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91.0,383.0,423.0,366.0,1172.0,Low,419.0,394.0,387.0,1200.0,M448,University Neighborhood High School,"200 MONROE STREET MANHATTAN NY 10002 (40.712269, -73.984128)",MANHATTAN,40.712269,-73.984128
01M450,EAST SIDE COMMUNITY SCHOOL,70.0,377.0,402.0,370.0,1149.0,Low,431.0,418.0,402.0,1251.0,M450,East Side Community School,"420 EAST 12 STREET MANHATTAN NY 10009 (40.729152, -73.982472)",MANHATTAN,40.729152,-73.982472
01M458,FORSYTH SATELLITE ACADEMY,7.0,414.0,401.0,359.0,1174.0,Low,370.0,385.0,378.0,1133.0,M458,Forsyth Satellite Academy,"198 FORSYTH STREET MANHATTAN NY 10002 (40.722415, -73.990468)",MANHATTAN,40.722415,-73.990468
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112.0,332.0,557.0,316.0,1205.0,Below Average,532.0,314.0,314.0,1160.0,M515,Lower East Side Preparatory High School,"145 STANTON STREET MANHATTAN NY 10002 (40.72004, -73.986038)",MANHATTAN,40.72004,-73.986038
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159.0,522.0,574.0,525.0,1621.0,Average,583.0,568.0,568.0,1719.0,M539,"New Explorations into Science, Technology and Math","111 COLUMBIA STREET MANHATTAN NY 10002 (40.719416, -73.979581)",MANHATTAN,40.719416,-73.979581
01M650,CASCADES HIGH SCHOOL,18.0,417.0,418.0,411.0,1246.0,Below Average,401.0,411.0,401.0,1213.0,M650,Cascades High School,"198 FORSYTH STREET MANHATTAN NY 10002 (40.722415, -73.990468)",MANHATTAN,40.722415,-73.990468
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130.0,624.0,604.0,628.0,1856.0,Average,608.0,630.0,630.0,1868.0,M696,Bard High School Early College,"525 EAST HOUSTON STREET MANHATTAN NY 10002 (40.718276, -73.976093)",MANHATTAN,40.718276,-73.976093
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16.0,395.0,400.0,387.0,1182.0,Low,415.0,405.0,385.0,1205.0,M047,47 The American Sign Language and English Secondar,"223 EAST 23 STREET MANHATTAN NY 10010 (40.738374, -73.981329)",MANHATTAN,40.738374,-73.981329
02M288,FOOD AND FINANCE HIGH SCHOOL,62.0,409.0,393.0,392.0,1194.0,Low,412.0,422.0,407.0,1241.0,M288,Food and Finance High School,"525 WEST 50TH STREET MANHATTAN NY 10019 (40.765474, -73.9927)",MANHATTAN,40.765474,-73.9927
